# Strain Gauge Data Acquisition
# Date: 2026-02-03 11:49:38
# Current: 0.001 A
# Channels: +1002, -1002
# Sample Interval: 100 ms

Time (s),Case,Current (A),Voltage (V),Resistance (Ohm),Load (lbs),Extension (in),Strain 1,Strain 2
0.007192,Gauge 1,1.000000e-03,4.456253e-11,4.456253e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
0.323813,Gauge 1,1.000000e-03,8.375645e-11,8.375645e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
0.640460,Gauge 1,1.000000e-03,5.487671e-11,5.487671e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
0.957012,Gauge 1,1.000000e-03,3.631121e-11,3.631121e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
1.273128,Gauge 1,1.000000e-03,3.837404e-11,3.837404e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
1.589620,Gauge 1,1.000000e-03,7.344226e-11,7.344226e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
1.906002,Gauge 1,1.000000e-03,1.980856e-11,1.980856e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
2.222724,Gauge 1,1.000000e-03,4.249970e-11,4.249970e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
2.539038,Gauge 1,1.000000e-03,7.344226e-11,7.344226e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
2.855619,Gauge 1,1.000000e-03,1.105734e-10,1.105734e-07,0.000000,0.000000,0.000000e+00,0.000000e+00
3.171499,Gauge 1,1.000000e-03,1.362007e-11,1.362007e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
3.488216,Gauge 1,1.000000e-03,4.456253e-11,4.456253e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
3.804483,Gauge 1,1.000000e-03,7.756794e-11,7.756794e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
4.120902,Gauge 1,1.000000e-03,9.494409e-12,9.494409e-09,0.000000,0.000000,0.000000e+00,0.000000e+00
4.437391,Gauge 1,1.000000e-03,4.043687e-11,4.043687e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
4.753988,Gauge 1,1.000000e-03,6.312807e-11,6.312807e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
5.070579,Gauge 1,1.000000e-03,7.550510e-11,7.550510e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
5.386961,Gauge 1,1.000000e-03,4.868819e-11,4.868819e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
5.703396,Gauge 1,1.000000e-03,5.281387e-11,5.281387e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
6.019982,Gauge 1,1.000000e-03,6.725374e-11,6.725374e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
6.336679,Gauge 1,1.000000e-03,9.407065e-11,9.407065e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
6.653228,Gauge 1,1.000000e-03,5.281387e-11,5.281387e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
6.969538,Gauge 1,1.000000e-03,7.550509e-11,7.550509e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
7.285946,Gauge 1,1.000000e-03,1.064477e-10,1.064477e-07,0.000000,0.000000,0.000000e+00,0.000000e+00
7.601965,Gauge 1,1.000000e-03,4.456253e-11,4.456253e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
7.918541,Gauge 1,1.000000e-03,7.344226e-11,7.344226e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
8.235296,Gauge 1,1.000000e-03,3.424837e-11,3.424837e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
8.552076,Gauge 1,1.000000e-03,6.106522e-11,6.106522e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
8.868329,Gauge 1,1.000000e-03,2.599705e-11,2.599705e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
9.184995,Gauge 1,1.000000e-03,-4.945412e-12,-4.945412e-09,0.000000,0.000000,0.000000e+00,0.000000e+00
9.501849,Gauge 1,1.000000e-03,1.980856e-11,1.980856e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
9.818316,Gauge 1,1.000000e-03,2.599705e-11,2.599705e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
10.135036,Gauge 1,1.000000e-03,2.805988e-11,2.805988e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
10.451663,Gauge 1,1.000000e-03,4.662536e-11,4.662536e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
10.767666,Gauge 1,1.000000e-03,1.126362e-10,1.126362e-07,0.000000,0.000000,0.000000e+00,0.000000e+00
11.084058,Gauge 1,1.000000e-03,5.487671e-11,5.487671e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
11.400437,Gauge 1,1.000000e-03,9.407065e-11,9.407065e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
11.717063,Gauge 1,1.000000e-03,9.819634e-11,9.819634e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
12.033866,Gauge 1,1.000000e-03,7.137942e-11,7.137942e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
12.350329,Gauge 1,1.000000e-03,-8.197332e-13,-8.197332e-10,0.000000,0.000000,0.000000e+00,0.000000e+00
12.665691,Gauge 1,1.000000e-03,6.931658e-11,6.931658e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
12.982254,Gauge 1,1.000000e-03,4.662536e-11,4.662536e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
13.298953,Gauge 1,1.000000e-03,6.519091e-11,6.519091e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
13.615535,Gauge 1,1.000000e-03,5.368730e-12,5.368730e-09,0.000000,0.000000,0.000000e+00,0.000000e+00
13.932294,Gauge 1,1.000000e-03,3.218554e-11,3.218554e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
14.248972,Gauge 1,1.000000e-03,1.568290e-11,1.568290e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
14.566060,Gauge 1,1.000000e-03,-7.008224e-12,-7.008224e-09,0.000000,0.000000,0.000000e+00,0.000000e+00
14.883114,Gauge 1,1.000000e-03,1.568290e-11,1.568290e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
15.199476,Gauge 1,1.000000e-03,2.805988e-11,2.805988e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
15.516129,Gauge 1,1.000000e-03,-7.008234e-12,-7.008234e-09,0.000000,0.000000,0.000000e+00,0.000000e+00
15.833021,Gauge 1,1.000000e-03,6.725374e-11,6.725374e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
16.149064,Gauge 1,1.000000e-03,1.085105e-10,1.085105e-07,0.000000,0.000000,0.000000e+00,0.000000e+00
16.465228,Gauge 1,1.000000e-03,3.837404e-11,3.837404e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
16.781741,Gauge 1,1.000000e-03,6.106523e-11,6.106523e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
17.098042,Gauge 1,1.000000e-03,5.075103e-11,5.075103e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
17.413940,Gauge 1,1.000000e-03,3.012272e-11,3.012272e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
17.730263,Gauge 1,1.000000e-03,8.375646e-11,8.375646e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
18.046767,Gauge 1,1.000000e-03,5.075103e-11,5.075103e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
18.363149,Gauge 1,1.000000e-03,6.312807e-11,6.312807e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
18.679719,Gauge 1,1.000000e-03,4.868819e-11,4.868819e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
18.995311,Gauge 1,1.000000e-03,8.375646e-11,8.375646e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
19.311918,Gauge 1,1.000000e-03,7.963077e-11,7.963077e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
19.627734,Gauge 1,1.000000e-03,3.631121e-11,3.631121e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
19.944285,Gauge 1,1.000000e-03,7.344227e-11,7.344227e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
20.260635,Gauge 1,1.000000e-03,8.994497e-11,8.994497e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
20.577192,Gauge 1,1.000000e-03,9.819634e-11,9.819634e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
20.893453,Gauge 1,1.000000e-03,1.980856e-11,1.980856e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
21.210218,Gauge 1,1.000000e-03,4.456253e-11,4.456253e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
21.526547,Gauge 1,1.000000e-03,7.137942e-11,7.137942e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
21.843155,Gauge 1,1.000000e-03,9.407067e-11,9.407067e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
22.159578,Gauge 1,1.000000e-03,5.487671e-11,5.487671e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
22.476190,Gauge 1,1.000000e-03,2.805988e-11,2.805988e-08,0.000000,0.000000,0.000000e+00,0.000000e+00
