# Strain Gauge Data Acquisition
# Date: 2026-02-24 12:02:54
# Sample Interval: 100 ms
# Mode: Internal DMM (sources current, measures voltage)

Time (s),Current (A),Voltage (V),Resistance (Ohm),Load (lbs),Extension (in)
0.012750,0.000000e+00,0.000000e+00,1.043865e+00,0.000000,0.000000
0.113655,0.000000e+00,0.000000e+00,1.043880e+00,0.000000,0.000000
0.214403,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
0.315177,0.000000e+00,0.000000e+00,1.043870e+00,0.000000,0.000000
0.415876,0.000000e+00,0.000000e+00,1.043873e+00,0.000000,0.000000
0.516580,0.000000e+00,0.000000e+00,1.043878e+00,0.000000,0.000000
0.617360,0.000000e+00,0.000000e+00,1.043874e+00,0.000000,0.000000
0.718100,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
0.818800,0.000000e+00,0.000000e+00,1.043867e+00,0.000000,0.000000
0.919044,0.000000e+00,0.000000e+00,1.043866e+00,0.000000,0.000000
1.019363,0.000000e+00,0.000000e+00,1.043876e+00,0.000000,0.000000
1.119546,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
1.219858,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
1.320109,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
1.421044,0.000000e+00,0.000000e+00,1.043879e+00,0.000000,0.000000
1.521720,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
1.622493,0.000000e+00,0.000000e+00,1.043876e+00,0.000000,0.000000
1.723008,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
1.823755,0.000000e+00,0.000000e+00,1.043882e+00,0.000000,0.000000
1.924462,0.000000e+00,0.000000e+00,1.043869e+00,0.000000,0.000000
2.025191,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
2.125921,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
2.226683,0.000000e+00,0.000000e+00,1.043866e+00,0.000000,0.000000
